date,cash,reserved_margin,unrealized_pnl,nav,total_return_pct,open_positions_count
2025-03-26,770.24,238.54,-14.04,994.74,-0.53,1
2025-03-27,770.24,238.54,-12.52,996.26,-0.37,1
2025-03-28,770.24,238.54,-9.92,998.86,-0.11,1
2025-03-31,770.24,238.54,-6.66,1002.12,0.21,1
2025-04-01,770.24,238.54,-6.1,1002.68,0.27,1
2025-04-02,770.24,238.54,-5.5,1003.28,0.33,1
2025-04-03,420.73,587.87,-9.48,999.13,-0.09,3
2025-04-04,420.73,587.87,-5.3,1003.3,0.33,3
2025-04-07,420.73,587.87,-7.95,1000.65,0.06,3
2025-04-08,222.95,785.55,-7.33,1001.17,0.12,4
2025-04-09,222.95,785.55,-0.8,1007.7,0.77,4
2025-04-10,222.95,785.55,-1.51,1006.99,0.7,4
2025-04-11,222.95,785.55,-10.11,998.39,-0.16,4
2025-04-14,222.95,785.55,-10.86,997.64,-0.24,4
2025-04-15,222.95,785.55,-7.35,1001.15,0.11,4
2025-04-16,222.95,785.55,-1.74,1006.76,0.68,4
2025-04-17,222.95,785.55,-1.34,1007.16,0.72,4
2025-04-18,222.95,785.55,1.98,1010.48,1.05,4
2025-04-21,222.95,785.55,4.41,1012.91,1.29,4
2025-04-22,222.95,785.55,5.78,1014.28,1.43,4
2025-04-23,222.95,785.55,5.52,1014.02,1.4,4
2025-04-24,222.95,785.55,5.79,1014.29,1.43,4
2025-04-25,222.95,785.55,3.35,1011.85,1.19,4
2025-04-28,222.95,785.55,3.05,1011.55,1.15,4
2025-04-29,222.95,785.55,4.04,1012.54,1.25,4
2025-04-30,222.95,785.55,3.86,1012.36,1.24,4
2025-05-01,222.95,785.55,6.86,1015.36,1.54,4
2025-05-02,222.95,785.55,12.78,1021.28,2.13,4
2025-05-05,222.95,785.55,11.5,1020.0,2.0,4
2025-05-06,414.52,587.87,16.72,1019.11,1.91,3
2025-05-07,414.52,587.87,26.47,1028.86,2.89,3
2025-05-08,414.52,587.87,26.37,1028.76,2.88,3
2025-05-09,217.44,784.85,26.7,1028.99,2.9,4
2025-05-12,217.44,784.85,30.23,1032.52,3.25,4
2025-05-13,217.44,784.85,29.73,1032.02,3.2,4
2025-05-14,217.44,784.85,17.29,1019.58,1.96,4
2025-05-15,217.44,784.85,21.23,1023.52,2.35,4
2025-05-16,217.44,784.85,28.52,1030.81,3.08,4
2025-05-19,394.75,622.13,14.33,1031.21,3.12,3
2025-05-20,394.75,622.13,14.14,1031.02,3.1,3
2025-05-21,394.75,622.13,11.84,1028.72,2.87,3
2025-05-22,221.51,795.28,8.05,1024.84,2.48,4
2025-05-23,221.51,795.28,7.3,1024.09,2.41,4
2025-05-26,221.51,795.28,10.4,1027.19,2.72,4
2025-05-27,221.51,795.28,15.14,1031.93,3.19,4
2025-05-28,221.51,795.28,12.72,1029.51,2.95,4
2025-05-29,221.51,795.28,15.09,1031.88,3.19,4
2025-05-30,221.51,795.28,14.22,1031.01,3.1,4
2025-06-02,221.51,795.28,6.75,1023.54,2.35,4
2025-06-03,221.51,795.28,12.56,1029.35,2.93,4
2025-06-04,221.51,795.28,19.32,1036.11,3.61,4
2025-06-05,221.51,795.28,20.88,1037.67,3.77,4
2025-06-06,221.51,795.28,26.38,1043.17,4.32,4
2025-06-09,221.51,795.28,28.65,1045.44,4.54,4
2025-06-10,407.62,622.13,9.56,1039.31,3.93,3
2025-06-11,407.62,622.13,8.79,1038.54,3.85,3
2025-06-12,224.37,805.28,8.02,1037.68,3.77,4
2025-06-13,224.37,805.28,5.02,1034.67,3.47,4
2025-06-16,224.37,805.28,0.45,1030.1,3.01,4
2025-06-17,224.37,805.28,-3.06,1026.59,2.66,4
2025-06-18,596.68,435.52,-6.3,1025.9,2.59,2
2025-06-19,398.98,633.12,-7.98,1024.12,2.41,3
2025-06-20,620.48,394.58,5.24,1020.3,2.03,2
2025-06-23,620.48,394.58,4.79,1019.85,1.99,2
2025-06-24,620.48,394.58,5.45,1020.51,2.05,2
2025-06-25,620.48,394.58,0.67,1015.73,1.57,2
2025-06-26,620.48,394.58,4.14,1019.2,1.92,2
2025-06-27,620.48,394.58,8.82,1023.88,2.39,2
2025-06-30,620.48,394.58,13.7,1028.76,2.88,2
